,0
10,i am five years old it is getting cold i have got my big coat on endofline i hear your laugh and look up smiling at you i run and run endofline past the pumpkin patch and the tractor rides endofline look now the sky is gold endofline i hug your legs and fall asleep on the way home endofparagraph i do not know why all the trees change in the fall endofline but i know you are not scared of anything at all endofline do not know if snow white's house is near or far away endofline but i know i had the best day with you today endofparagraph i am thirteen now endofline and do not know how my friends could be so mean endofline i come home crying and you hold me tight and grab the keys endofline and we drive and drive until we found a town far enough away endofline and we talk and window shop 'til i have forgotten all their names endofparagraph i do not know who i am going to talk to now at school endofline but i know i am laughing on the car ride home with you endofline do not know how long it is going to take to feel okay endofline but i know i had the best day with you today endofparagraph i have an excellent father his strength is making me stronger endofline god smiles on my little brother inside and out endofline he is better than i am endofline i grew up in a pretty house and i had space to run endofline and i had the best days with you endofparagraph there is a video i found from back when i was three endofline you set up a paint set in the kitchen and you are talking to me endofline it is the age of princesses and pirate ships and the seven dwarves endofline daddy's smart endofline and you are the prettiest lady in the whole wide world endofparagraph now i know why all the trees change in the fall endofline i know you were on my side even when i was wrong endofline and i love you for giving me your eyes endofline for staying back and watching me shine endofline and i did not know if you knew so i am taking this chance to say endofline that i had the best day with you today endofparagraph
11,well it is a sad picture the final blow hits you endofline somebody else gets what you wanted again and endofline you know it is all the same another time and place endofline repeating history and you are getting sick of it endofline but i believe in whatever you do endofline and i will do anything to see it through endofparagraph because these things will change endofline can you feel it now endofline these walls that they put up to hold us back will fall down endofline this revolution the time will come endofline for us to finally win endofline and we will sing hallelujah we will sing hallelujah endofline oh oh endofparagraph so we have been outnumbered raidеd and now cornered endofline it is hard to fight when thе fight are not fair endofline we are getting stronger now find things they never found endofline they might be bigger but we are faster and never scared endofline you can walk away say we do not need this endofline but there is something in your eyes says we can beat this endofparagraph because these things will change endofline can you feel it now endofline these walls that they put up to hold us back will fall down endofline this revolution the time will come endofline for us to finally win endofline and we will sing hallelujah we will sing hallelujah endofline oh oh endofparagraph tonight we will stand get off our knees endofline fight for what we have worked for all these years endofline and the battle was long it is the fight of our lives endofline but we will stand up champions tonight endofparagraph it was the night things changed endofline can you see it now endofline when the walls that they put up to hold us back fell down endofline it is a revolution throw your hands up endofline because we never gave in endofline and we will sing hallelujah we sang hallelujah endofline hallelujah endofparagraph
12,i like the way you sound in the morning endofline we are on the phone and without a warning endofline i realize your laugh is the best sound endofline i have ever heard endofline i like the way i can not keep my focus endofline i watch you talk you did not notice endofline i hear the words but all i can think is endofline we should be together endofparagraph[prechorus] endofline every time you smile i smile endofline and every time you shine i will shine for you endofparagraph whoa oh i am feeling you baby endofline do not be afraid to endofline jump then fall endofline jump then fall into me endofline baby i am never going to leave you endofline say that you want to be with me too endofline because i am about to stay through it all endofline so jump then fall endofparagraph well i like the way your hair falls in your face endofline you got the keys to me endofline i love each freckle on your face oh endofline i have never been so wrapped up honey endofline i like the way you are everything i ever wanted endofline i had time to think it over endofline and all i can say is come closer endofline take a deep breath and  jump then fall into me endofparagraph[prechorus] endofline because every time you smile i smile endofline and every time you shine i will shine for you endofparagraph whoa oh i am feeling you baby endofline do not be afraid to endofline jump then fall endofline jump then fall into me endofline baby i am never going to leave you endofline say that you want to be with me too endofline because i am about to stay through it all endofline so jump then fall endofparagraph the bottom's going to drop out from under our feet endofline i will catch you i will catch you endofline when people say things that bring you to your knees endofline i will catch you endofline the time is going to come when you are so mad you could cry endofline but i will hold you through the night until you smile endofparagraph whoa oh i need you baby endofline do not be afraid please endofline jump then fall endofline jump then fall into me endofline baby i am never going to leave you endofline say that you want to be with me too endofline because i am about to stay through it all endofline so jump then fall endofline jump then fall baby endofline jump then fall into me into me endofparagraph every time you smile i smile endofline and every time you shine i shine endofline and every time you are here endofline baby i will show you i will show you endofline you can jump then fall jump then fall endofline jump then fall into me into me yeah endofparagraph
13,untouchable like a distant diamond sky endofline i am reaching out and i just can not tell you why endofline i am caught up in you i am caught up in you endofparagraph[prechorus] endofline untouchable burning brighter than the sun endofline and when you are close i feel like coming undone endofparagraph in the middle of the night when i am in this dream endofline it is like a million little stars spelling out your name endofline you got to come on come on say that we will be together endofline come on come on little taste of heaven endofparagraph it is half full and i will not wait here all day endofline i know you are saying that you would be here anyway endofparagraph[prechorus] endofline but you are untouchable burning brighter than the sun endofline and now that you are close i feel like coming undone endofparagraph in the middle of the night when i am in this dream endofline it is like a million little stars spelling out your name endofline you got to come on come on say that we will be together endofline come on come on oh endofline in the middle of the night waking from this dream endofline i want to feel you by my side standing next to me endofline you got to come on come on say that we will be together endofline come on come on little taste of heaven endofparagraph i am caught up in you endofline ohoh oh ohoh endofline but you are untouchable burning brighter than the sun endofline now that you are close i feel like coming undone endofparagraph in the middle of the night when i am in this dream endofline it is like a million little stars spelling out your name endofline you got to come on come on say that we will be together endofline come on come on oh endofline in the middle of the night when i am in this dream endofline it is like a million little stars spelling out your name endofline you got to come on come on say that we will be together endofline come on come on come on endofline in the middle of the night waking from this dream endofline i want to feel you by my side standing next to me endofline you got to come on come on say that we will be together endofline come on come on little taste of heaven endofline oh ohohoh ohohoh oh endofparagraph and in the middle of the night when i am in this dream endofline it is like a million little stars spelling out your name endofline you got to come on come on oh endofline come on come on endofline come on come on oh oh oh endofline it is like a million little stars spelling out your name endofline they are spelling out your name oh endofparagraph
14,once upon a time endofline i believe it was a tuesday when i caught your eye endofline and we caught onto something endofline i hold on to the night endofline you looked me in the eye and told me you loved me endofline were you just kidding endofline because it seems to me endofline this thing is breaking down we almost never speak endofline i do not feel welcome anymore endofline what happened please tell me endofline because one second it was perfect endofline now you are halfway out the door endofparagraph and i stare at the phone he still has not called endofline and then you feel so low you can not feel nothing at all endofline and you flashback to when he said forever and always endofline and it rains in your bedroom endofline everything is wrong endofline it rains when you are here and it rains when you are gone endofline i was there when you said forever and always endofparagraph was i out of line endofline did i say something way too honest made you run and hide endofline like a scared little boy endofline i looked into your eyes endofline thought i knew you for a minute now i am not so sure endofline so here is to everything coming down to nothing endofline here is to silence that cuts me to the core endofline where is this going endofline thought i knew for a minute but i do not anymore endofparagraph and i stare at the phone he still has not called endofline and then you feel so low you can not feel nothing at all endofline you flashback to when he said forever and always endofline oh and it rains in your bedroom endofline everything is wrong endofline it rains when you are here and it rains when you are gone endofline i was there when you said forever and always endofline you did not mean it baby i do not think so endofparagraph oh ohoh ohohoh endofline ohoh ohohoh endofline back up baby back up endofline did you forget everythiiing endofline back up baby back up endofline did you forget everythiiing endofline back up baby back up endofline please back up oh back up endofline back up baby back up endofparagraph because it rains in your bedroom endofline everything is wrong endofline it rains when you are here and it rains when you are gone endofline i was there when you said forever and always endofline and i stare at the phone he still has not called endofline and then you feel so low you can not feel nothing at all endofline you flashback to when we said forever and always endofline and it rains in your bedroom endofline everything is wrong endofline it rains when you are here and it rains when you are gone endofline i was there when you said forever and always endofline you did not mean it baby endofparagraph you said forever and always yeah endofparagraph
15,i could go back to every laugh endofline but i do not want to go there anymore endofline and i know all the steps up to your door endofline but i do not want to go there anymore endofparagraph[prechorus] endofline talk to the wind talk to the sky endofline talk to the man with the reasons why endofline and let me know what you find endofparagraph i will leave my window open endofline because i am too tired at night to call your name endofline just know i am right here hoping endofline that you will come in with the rain endofparagraph i could stand up and sing you a song endofline but i do not want to have to go that far endofline and i i have got you down i know you by heart endofline and you do not even know where i start endofparagraph[prechorus] endofline talk to yourself talk to the tears endofline talk to the man who put you here endofline and do not wait for the sky to clear endofparagraph i will leave my window open endofline because i am too tired at night to call your name oh endofline just know i am right here hoping endofline that you will come in with the rain endofparagraph i have watched you so long screamed your name endofline i do not know what else i can say endofparagraph i will leave my window open endofline because i am too tired at night for all these games endofline just know i am right here hoping endofline that you will come in with the rain endofparagraph i could go back to every laugh endofline but i do not want to go there anymore endofparagraph
16,this is wrong but i can not help but feel like endofline there are not nothing more right babe endofline misty morning comes again and i can not endofline help but wish i could see your face endofline and i knew from the first note played endofline i would be breaking all my rules to see you endofline you smile that beautiful smile and all the girls in the front row endofline scream your name endofparagraph so dim that spotlight tell me things like endofline i can not keep my eyes off of you endofline i am no one special just another wideeyed girl endofline who is desperately in love with you endofline give me a photograph to hang on my wall superstar endofparagraph morning lonelinеss endofline comes around when i am not dreaming about you endofline whеn my world wakes up today endofline you will be in another town endofline and i knew when i saw your face endofline i would be counting down the ways to see you endofline you smile that beautiful smile and all the girls in the front row endofline scream your name endofparagraph so dim that spotlight tell me things like endofline i can not take my eyes off of you endofline i am no one special just another wideeyed girl endofline who is desperately in love with you endofline give me a photograph to hang on my wall superstar endofparagraph you played in bars you play guitar endofline and i am invisible and everyone knows who you are endofline and you will never see you sing me to sleep endofline every night from the radio endofparagraph so dim that spotlight tell me things like endofline i can not take my eyes off of you endofline i am no one special just another wideeyed girl endofline who is desperately in love with you endofline give me a photograph to hang on my wall superstar endofparagraph sweet sweet superstar endofline superstar endofparagraph
17,in the heat of the fight i walked away endofline ignorin' words that you were sayin' endofline tryna make me stay endofline i said this time i have had enough endofline and you have called a hundred times endofline but i am not picking up endofparagraph[prechorus] endofline because i am so mad i might tell you that it is over endofline but if you look a little closer endofparagraph i said leave but all i really want is you endofline to stand outside my window throwin' pebbles endofline screamin' i am in love with you endofline wait there in the pourin' rain comin' back for more endofline and do not you leave because i know endofline all i need is on the other side of the door endofparagraph me and my stupid pride are sittin' here alone endofline going through the photographs starin' at the phone endofline i keep going back over things we both said endofline and i remember the slamming door endofline and all the things that i misread endofparagraph[prechorus] endofline oh babe if you know everything endofline tell me why you could not see endofline when i left i wanted you to chase after me yeah endofparagraph i said leave but all i really want is you endofline to stand outside my window throwin' pebbles endofline screamin' i am in love with you endofline wait there in the pourin' rain comin' back for more endofline and do not you leave because i know endofline all i need is on the other side of the door endofparagraph and i will scream out the window endofline i can not even look at you endofline i do not need you but i do i do i do endofline i say there is nothing you can say endofline to make this right again i mean it i mean it endofline but what i mean is endofparagraph i said leave but baby all i want is you endofline to stand outside my window throwin' pebbles endofline screamin' i am in love with you endofline wait there in the pourin' rain comin' back for more endofline and do not you leave because i know endofline all i need is on the other side of the door endofparagraph with your face and the beautiful eyes endofline and the conversation with the little white lies endofline and the faded picture of a beautiful night endofline you carried me from your car up the stairs endofline and i broke down crying was she worth this mess endofline after everything and that little black dress endofline after everything i must confess i need you endofparagraph
18,today was a fairytale endofline you were the prince endofline i used to be a damsel in distress endofline you took me by the hand and you picked me up at six endofline today was a fairytale endofline today was a fairytale endofline today was a fairytale endofline i wore a dress endofline you wore a dark gray tshirt endofline you told me i was pretty when i looked like a mess endofline today was a fairytale endofparagraph[prechorus] endofline time slows down endofline whenever you are around endofparagraph can you feel this magic in the air endofline it must have been the way you kissed me endofline fell in love when i saw you standing there endofline it must have been the way endofline today was a fairytale endofline it must have been the way endofline today was a fairytale endofparagraph today was a fairytale endofline you have got a smile endofline that takes me to another planet endofline every move you make everything you say is right endofline today was a fairytale endofline today was a fairytale endofline all that i can say endofline is now it is getting so much clearer endofline nothing made sense 'til the time i saw your face endofline today was a fairytale endofparagraph[prechorus] endofline time slows down endofline whenever you are around yeah endofparagraph but can you feel this magic in the air endofline it must have been the way you kissed me endofline fell in love when i saw you standing there endofline it must have been the way endofline today was a fairytale endofline it must have been the way endofline today was a fairytale endofparagraph time slows down endofline whenever you are around endofline i can feel my heart endofline it is beating in my chest endofline did you feel it endofline i can not put this down endofparagraph but can you feel this magic in the air endofline it must have been the way you kissed me endofline fell in love when i saw you standing there endofline it must have been the way endofparagraphbut can you feel this magic in the air endofline it must have been the way you kissed me endofline fell in love when i saw you standing there endofline it must have been the way endofline today was a fairytale endofline it must have been the way endofline today was a fairytale endofparagraph oh oh yeah ohoh endofline today was a fairytale endofparagraph
19,bridge: taylor swift with maren morris] endofline i lived and i learned endofline and found out what it was to turn around endofline and see that we endofline were never really meant to be endofline so i lied and i cried endofline and i watched a part of myself die endofline because no amount of freedom gets you clean endofline i have still got you all over me endofparagraph[outro: taylor swift with maren morris] endofline i have still got you all over me endofline still got you all over me endofparagraph
20,mr perfect face endofline mr here to stay endofline mr looked me in the eye and told me you would never go away endofline everything was right endofline mr i have been waitin' for you all my life endofline mr every single day until the end i will be by your side endofparagraph[prechorus] endofline but that was when i got to know mr change of heart endofline mr leaves me all alone i fall apart endofline it takes everything in me just to get up each day endofline but it is wonderful to see that you are okay endofparagraph hello mr perfectly fine endofline how is your heart after breakin' mine endofline mr always at the right place at the right time baby endofline hello mr casually cruel endofline mr everything revolves around you endofline i have been miss misery since your goodbye endofline and you are mr perfectly fine endofparagraph mr never told me why endofline mr never had to see me cry endofline mr insincere apology so he does not look like the bad guy endofline he goes about his day endofline forgets he ever even heard my name endofline well i thought you might be different than the rest i guess you are all the same endofparagraph[prechorus] endofline because i hear he is got his arm 'round a brandnew girl endofline i have been pickin' up my heart he is been pickin' up her endofline and i never got past what you put me through endofline but it is wonderful to see that it never fazed you endofparagraph hello mr perfectly fine endofline how is your heart after breakin' mine endofline mr always at the right place at the right time baby endofline hello mr casually cruel endofline mr everything revolves around you endofline i have been miss misery since your goodbye endofline and you are mr perfectly fine endofparagraph so dignified in your wellpressed suit endofline so strategized all the eyes on you endofline sashay your way to your seat endofline it is the best seat in the best room endofline oh he is so smug mr always wins endofline so far above me in every sense endofline so far above feeling anything endofparagraph and it is really such a shame endofline it is such a shame endofline because i was miss here to stay endofline now i am miss going to be alright someday endofline and someday maybe you will miss me endofline but by then you will be mr too late endofparagraph goodbye mr perfectly fine endofline how is your heart after breakin' mine endofline mr always at the right place at the right time baby endofline goodbye mr casually cruel endofline mr everything revolves around you endofline i have been miss misery for the last time endofline and you are mr perfectly fine endofparagraph you are perfectly fine endofline mr look me in the eye and told me you would never go away endofline you said you would never go away endofparagraph
